Pathway,First Reaction,Second Reaction,Second Reaction Author
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661397"",""R-HSA-9661397"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661405"",""R-HSA-9661405"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661723"",""R-HSA-9661723"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661405"",""R-HSA-9661405"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189384"",""R-HSA-189384"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9663511"",""R-HSA-9663511"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661726"",""R-HSA-9661726"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661710"",""R-HSA-9661710"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661405"",""R-HSA-9661405"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661745"",""R-HSA-9661745"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661405"",""R-HSA-9661405"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661397"",""R-HSA-9661397"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661405"",""R-HSA-9661405"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661723"",""R-HSA-9661723"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661405"",""R-HSA-9661405"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661799"",""R-HSA-9661799"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661820"",""R-HSA-9661820"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661397"",""R-HSA-9661397"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661820"",""R-HSA-9661820"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661723"",""R-HSA-9661723"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661820"",""R-HSA-9661820"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661432"",""R-HSA-9661432"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661820"",""R-HSA-9661820"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661799"",""R-HSA-9661799"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189398"",""R-HSA-189398"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1497883"",""R-HSA-1497883"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661799"",""R-HSA-9661799"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661405"",""R-HSA-9661405"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9663492"",""R-HSA-9663492"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9663511"",""R-HSA-9663511"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9663492"",""R-HSA-9663492"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661405"",""R-HSA-9661405"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5679041"",""R-HSA-5679041"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661417"",""R-HSA-9661417"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661710"",""R-HSA-9661710"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661745"",""R-HSA-9661745"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661710"",""R-HSA-9661710"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9661726"",""R-HSA-9661726"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-549192"",""R-HSA-549192"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8857686"",""R-HSA-8857686"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696119"",""R-HSA-5696119"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1497796"",""R-HSA-1497796"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696119"",""R-HSA-5696119"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1497794"",""R-HSA-1497794"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75900"",""R-HSA-75900"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8857686"",""R-HSA-8857686"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75887"",""R-HSA-75887"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8848339"",""R-HSA-8848339"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5334794"",""R-HSA-5334794"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8848338"",""R-HSA-8848338"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5334794"",""R-HSA-5334794"")","Jassal, B"
