PathwayName,Event,RelationType,PrecedingEventCurated
Cell Cycle,R-HSA-187552,Preceding Event Relation,R-HSA-187545
Cell Cycle,R-HSA-187552,Preceding Event Relation,R-HSA-187520
Cell Cycle,R-HSA-8848436,Preceding Event Relation,R-HSA-8848414
Cell Cycle,R-HSA-187574,Preceding Event Relation,R-HSA-187575
Cell Cycle,R-HSA-187575,Preceding Event Relation,R-HSA-187552
Cell Cycle,R-HSA-8848414,Preceding Event Relation,R-HSA-8848005
Cell Cycle,R-HSA-187545,Preceding Event Relation,null
Cell Cycle,R-HSA-188345,Preceding Event Relation,R-HSA-8964471
Cell Cycle,R-HSA-188345,Preceding Event Relation,R-HSA-8932400
Cell Cycle,R-HSA-188345,Preceding Event Relation,R-HSA-8961961
Cell Cycle,R-HSA-188350,Preceding Event Relation,R-HSA-69199
Cell Cycle,R-HSA-188350,Preceding Event Relation,R-HSA-187574
Cell Cycle,R-HSA-188350,Preceding Event Relation,R-HSA-157906
Cell Cycle,R-HSA-68960,Preceding Event Relation,R-HSA-68916
Cell Cycle,R-HSA-69299,Preceding Event Relation,R-HSA-68940
Cell Cycle,R-HSA-68914,Preceding Event Relation,R-HSA-68916
Cell Cycle,R-HSA-68914,Preceding Event Relation,R-HSA-68960
Cell Cycle,R-HSA-68917,Preceding Event Relation,R-HSA-68918
Cell Cycle,R-HSA-68917,Preceding Event Relation,R-HSA-8961915
Cell Cycle,R-HSA-68916,Preceding Event Relation,R-HSA-68917
Cell Cycle,R-HSA-68919,Preceding Event Relation,R-HSA-68849
Cell Cycle,R-HSA-68918,Preceding Event Relation,R-HSA-68940
Cell Cycle,R-HSA-68954,Preceding Event Relation,R-HSA-68918
Cell Cycle,R-HSA-68940,Preceding Event Relation,R-HSA-68919
Cell Cycle,R-HSA-8962039,Preceding Event Relation,R-HSA-8961991
Cell Cycle,R-HSA-8961846,Preceding Event Relation,R-HSA-8961840
Cell Cycle,R-HSA-8961972,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961907,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961651,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961840,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961982,Preceding Event Relation,R-HSA-9007591
Cell Cycle,R-HSA-8961982,Preceding Event Relation,R-HSA-8961972
Cell Cycle,R-HSA-8961915,Preceding Event Relation,R-HSA-8961907
Cell Cycle,R-HSA-8961895,Preceding Event Relation,R-HSA-8961888
Cell Cycle,R-HSA-8961636,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961699,Preceding Event Relation,R-HSA-8961688
Cell Cycle,R-HSA-8961952,Preceding Event Relation,R-HSA-8961946
Cell Cycle,R-HSA-8961888,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961632,Preceding Event Relation,R-HSA-8961636
Cell Cycle,R-HSA-8961961,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961620,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961619,Preceding Event Relation,R-HSA-8961620
Cell Cycle,R-HSA-8961619,Preceding Event Relation,R-HSA-8964498
Cell Cycle,R-HSA-8961874,Preceding Event Relation,R-HSA-8961863
Cell Cycle,R-HSA-8961946,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961688,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961991,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961863,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961671,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8962050,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961665,Preceding Event Relation,R-HSA-8961651
Cell Cycle,R-HSA-8961665,Preceding Event Relation,R-HSA-8964465
Cell Cycle,R-HSA-8961920,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-8961934,Preceding Event Relation,R-HSA-8964567
Cell Cycle,R-HSA-8961934,Preceding Event Relation,R-HSA-8961920
Cell Cycle,R-HSA-8961678,Preceding Event Relation,R-HSA-8961671
Cell Cycle,R-HSA-113638,Preceding Event Relation,R-HSA-68615
Cell Cycle,R-HSA-113504,Preceding Event Relation,R-HSA-68950
Cell Cycle,R-HSA-113643,Preceding Event Relation,R-HSA-113503
Cell Cycle,R-HSA-113503,Preceding Event Relation,R-HSA-69227
Cell Cycle,R-HSA-113503,Preceding Event Relation,R-HSA-113504
Cell Cycle,R-HSA-182594,Preceding Event Relation,R-HSA-3857348
Cell Cycle,R-HSA-182594,Preceding Event Relation,R-HSA-3209114
Cell Cycle,R-HSA-182594,Preceding Event Relation,R-HSA-2187303
Cell Cycle,R-HSA-8942607,Preceding Event Relation,R-HSA-8941915
Cell Cycle,R-HSA-9018017,Preceding Event Relation,null
Cell Cycle,R-HSA-69227,Preceding Event Relation,R-HSA-8942836
Cell Cycle,R-HSA-8941895,Preceding Event Relation,R-HSA-9009378
Cell Cycle,R-HSA-8941895,Preceding Event Relation,R-HSA-9623355
Cell Cycle,R-HSA-8941895,Preceding Event Relation,R-HSA-8853956
Cell Cycle,R-HSA-8941915,Preceding Event Relation,R-HSA-8941895
Cell Cycle,R-HSA-1363328,Preceding Event Relation,R-HSA-1226094
Cell Cycle,R-HSA-1363331,Preceding Event Relation,R-HSA-1363328
Cell Cycle,R-HSA-1363276,Preceding Event Relation,R-HSA-1226094
Cell Cycle,R-HSA-8942803,Preceding Event Relation,R-HSA-8941895
Cell Cycle,R-HSA-8942803,Preceding Event Relation,R-HSA-8942607
Cell Cycle,R-HSA-8942803,Preceding Event Relation,R-HSA-8848436
Cell Cycle,R-HSA-8942803,Preceding Event Relation,R-HSA-8941915
Cell Cycle,R-HSA-8942836,Preceding Event Relation,R-HSA-8942803
Cell Cycle,R-HSA-1226094,Preceding Event Relation,R-HSA-8942836
Cell Cycle,R-HSA-1226095,Preceding Event Relation,R-HSA-8942836
Cell Cycle,R-HSA-1363274,Preceding Event Relation,R-HSA-1226095
Cell Cycle,R-HSA-1362261,Preceding Event Relation,R-HSA-1362270
Cell Cycle,R-HSA-8964475,Preceding Event Relation,R-HSA-1362261
Cell Cycle,R-HSA-8964492,Preceding Event Relation,R-HSA-1362261
Cell Cycle,R-HSA-8964525,Preceding Event Relation,R-HSA-8964492
Cell Cycle,R-HSA-8964513,Preceding Event Relation,R-HSA-8964550
Cell Cycle,R-HSA-8964513,Preceding Event Relation,R-HSA-8964482
Cell Cycle,R-HSA-8964465,Preceding Event Relation,R-HSA-1362261
Cell Cycle,R-HSA-8964498,Preceding Event Relation,R-HSA-1362261
