Reaction,Input,Output,Catalyst,Regulator,Regulation
R-HSA-5663165,R-HSA-5641219,R-HSA-5663184,null,null,null
R-HSA-879782,R-HSA-5641219,R-HSA-388474,null,R-HSA-5663184,PositiveGeneExpressionRegulation
R-HSA-1368889,R-HSA-5641210,R-HSA-197188,null,R-HSA-5663154,PositiveGeneExpressionRegulation
R-HSA-8878679,R-HSA-8878727,R-HSA-8878735,null,R-HSA-8878725,PositiveGeneExpressionRegulation
R-HSA-5663170,R-HSA-5641211,R-HSA-5663107,null,null,null
R-HSA-5663170,R-HSA-421315,R-HSA-5663107,null,null,null
R-HSA-5663138,R-HSA-421315,R-HSA-5663134,null,null,null
R-HSA-5663138,R-HSA-5641223,R-HSA-5663134,null,null,null
R-HSA-5663105,R-HSA-5641212,R-HSA-5663121,null,null,null
R-HSA-5663105,R-HSA-421315,R-HSA-5663121,null,null,null
