First_Reaction,Second_Reaction
R-HSA-8851632,R-HSA-190261
R-HSA-480515,R-HSA-190261
R-HSA-5654729,R-HSA-5654677
R-HSA-5674385,R-HSA-5654562
R-HSA-5654607,R-HSA-5654729
R-HSA-190258,R-HSA-190413
R-HSA-190260,R-HSA-190408
R-HSA-5654612,R-HSA-5654614
R-HSA-5654397,R-HSA-5654612
R-HSA-177931,R-HSA-5654612
R-HSA-5654620,R-HSA-5654622
R-HSA-5654397,R-HSA-5654620
R-HSA-177931,R-HSA-5654620
R-HSA-5654614,R-HSA-5654701
R-HSA-5654622,R-HSA-5654697
R-HSA-5654605,R-HSA-5654615
R-HSA-5654397,R-HSA-5654615
R-HSA-5654605,R-HSA-5654608
R-HSA-5654397,R-HSA-5654608
R-HSA-190413,R-HSA-5654399
R-HSA-190408,R-HSA-5654399
R-HSA-5654608,R-HSA-5654607
R-HSA-5654607,R-HSA-8941618
R-HSA-5654399,R-HSA-5654397
R-HSA-5654603,R-HSA-5654605
R-HSA-5654615,R-HSA-5654618
R-HSA-190413,R-HSA-5654603
R-HSA-190408,R-HSA-5654603
R-HSA-5654159,R-HSA-5654147
R-HSA-190413,R-HSA-5654159
R-HSA-190408,R-HSA-5654159
R-HSA-5654147,R-HSA-5654157
R-HSA-5654407,R-HSA-5654406
R-HSA-5654404,R-HSA-5654407
R-HSA-190413,R-HSA-5654404
R-HSA-190408,R-HSA-5654404
R-HSA-5654406,R-HSA-5654402
R-HSA-480515,R-HSA-190245
R-HSA-190245,R-HSA-190427
R-HSA-190268,R-HSA-191062
R-HSA-480515,R-HSA-190256
R-HSA-190256,R-HSA-190429
R-HSA-5674385,R-HSA-5654560
R-HSA-5654673,R-HSA-5654672
R-HSA-5654587,R-HSA-5654673
R-HSA-5654571,R-HSA-5654578
R-HSA-5654569,R-HSA-5654575
R-HSA-5654575,R-HSA-5654586
R-HSA-5654578,R-HSA-5654586
R-HSA-190429,R-HSA-5654571
R-HSA-190427,R-HSA-5654571
R-HSA-191062,R-HSA-5654571
R-HSA-5654584,R-HSA-5654587
R-HSA-5654586,R-HSA-5654392
R-HSA-5654575,R-HSA-5654584
R-HSA-5654578,R-HSA-5654584
R-HSA-190429,R-HSA-5654569
R-HSA-190427,R-HSA-5654569
R-HSA-191062,R-HSA-5654569
R-HSA-5654587,R-HSA-8941623
R-HSA-5654573,R-HSA-5654582
R-HSA-5654582,R-HSA-5654597
R-HSA-190429,R-HSA-5654573
R-HSA-190427,R-HSA-5654573
R-HSA-191062,R-HSA-5654573
R-HSA-5654597,R-HSA-5654600
R-HSA-190429,R-HSA-5656064
R-HSA-190427,R-HSA-5656064
R-HSA-191062,R-HSA-5656064
R-HSA-5654594,R-HSA-5654596
R-HSA-5654596,R-HSA-5654692
R-HSA-5654591,R-HSA-5654690
R-HSA-177931,R-HSA-5654594
R-HSA-177931,R-HSA-5654592
R-HSA-5654575,R-HSA-5654592
R-HSA-5654592,R-HSA-5654591
R-HSA-190429,R-HSA-5654167
R-HSA-190427,R-HSA-5654167
R-HSA-191062,R-HSA-5654167
