PathwayName,Event,RelationType,InputReaction
Cell Cycle,R-HSA-5633460,Shared entity relation,R-HSA-6804879
Cell Cycle,R-HSA-6804741,Shared entity relation,R-HSA-5633460
Cell Cycle,R-HSA-6793685,Shared entity relation,null
Cell Cycle,R-HSA-6804724,Shared entity relation,null
Cell Cycle,R-HSA-69685,Shared entity relation,R-HSA-6803719
Cell Cycle,R-HSA-349444,Shared entity relation,R-HSA-264418
Cell Cycle,R-HSA-264418,Shared entity relation,R-HSA-264444
Cell Cycle,R-HSA-264435,Shared entity relation,R-HSA-264418
Cell Cycle,R-HSA-264435,Shared entity relation,R-HSA-69685
Cell Cycle,R-HSA-264435,Shared entity relation,R-HSA-6799246
Cell Cycle,R-HSA-264444,Shared entity relation,R-HSA-264458
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-264444
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-69015
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-75824
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-8854051
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-8854041
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-3000335
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-174144
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-174104
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-69598
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-174195
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-174227
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-174159
Cell Cycle,R-HSA-264458,Shared entity relation,R-HSA-179417
Cell Cycle,R-HSA-349426,Shared entity relation,R-HSA-6804724
Cell Cycle,R-HSA-6804879,Shared entity relation,R-HSA-5633460
Cell Cycle,R-HSA-6804879,Shared entity relation,R-HSA-8852337
Cell Cycle,R-HSA-6804879,Shared entity relation,R-HSA-6793685
Cell Cycle,R-HSA-349455,Shared entity relation,R-HSA-349426
Cell Cycle,R-HSA-6804955,Shared entity relation,null
Cell Cycle,R-HSA-5693609,Shared entity relation,R-HSA-69685
Cell Cycle,R-HSA-5693609,Shared entity relation,R-HSA-6799246
Cell Cycle,R-HSA-6803719,Shared entity relation,R-HSA-6803801
Cell Cycle,R-HSA-6803411,Shared entity relation,null
Cell Cycle,R-HSA-6803388,Shared entity relation,R-HSA-6803411
Cell Cycle,R-HSA-6803388,Shared entity relation,R-HSA-6803403
Cell Cycle,R-HSA-6803403,Shared entity relation,R-HSA-6803411
