First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-5358579,R-HSA-5358592,R-ALL-5358610,Input,OR,0
R-HSA-5358597,R-HSA-5358599,R-HSA-5358633,Input,AND,1
R-HSA-5358599,R-HSA-5358579,R-HSA-5358538,Input,OR,0
R-HSA-5358619,R-HSA-5358579,R-HSA-5358538,Input,OR,0
R-HSA-5358912,R-HSA-5358510,R-HSA-5358934,Input,AND,1
R-HSA-5358919,R-HSA-5358519,R-HSA-5358910,Input,AND,1
R-HSA-5444511,R-HSA-5358513,R-HSA-5357508,Input,AND,1
R-HSA-5444516,R-HSA-5358525,R-HSA-5357523,Input,AND,1
R-HSA-5444523,R-HSA-5358510,R-HSA-5357522,Input,OR,0
R-HSA-5444523,R-HSA-5358519,R-HSA-5357522,Input,OR,0
R-HSA-5649655,R-HSA-5649658,R-HSA-5649652,Input,OR,0
R-HSA-5649657,R-HSA-5649664,R-HSA-5649663,Input,OR,0
R-HSA-5649671,R-HSA-5649673,R-HSA-5649670,Input,OR,0
R-HSA-5649686,R-HSA-5649681,R-HSA-5649682,Input,OR,0
R-HSA-5649701,R-HSA-5649711,R-HSA-5649693,Input,AND,1
R-HSA-5649701,R-HSA-110235,R-HSA-60887,Input,OR,0
R-HSA-5649701,R-HSA-110236,R-HSA-60887,Input,OR,0
R-HSA-5649705,R-HSA-5649723,R-HSA-5649816,Input,OR,0
R-HSA-5649708,R-HSA-5649725,R-HSA-5649715,Input,OR,0
R-HSA-5649711,R-HSA-5649708,R-HSA-5649706,Input,AND,1
R-HSA-5649723,R-HSA-5649734,R-HSA-5649733,Input,AND,1
R-HSA-5649724,R-HSA-5649708,R-HSA-53845,Input,OR,0
R-HSA-5649724,R-HSA-5649854,R-HSA-53845,Input,OR,0
R-HSA-5649724,R-HSA-110360,R-HSA-53845,Input,OR,0
R-HSA-5649724,R-HSA-5649726,R-HSA-5649651,Input,AND,1
R-HSA-5649724,R-HSA-3785704,R-HSA-5649637,Input,AND,1
R-HSA-5649724,R-HSA-5687673,R-HSA-110338,Input,OR,0
R-HSA-5649724,R-HSA-5649726,R-HSA-110338,Input,OR,0
R-HSA-5649724,R-HSA-110376,R-HSA-110338,Input,OR,0
R-HSA-5649725,R-HSA-5649726,R-HSA-5649730,Input,AND,1
R-HSA-5649726,R-HSA-5649705,R-HSA-5649729,Input,OR,0
R-HSA-5649734,R-HSA-5649724,R-HSA-5649722,Input,OR,0
R-HSA-5649854,R-HSA-111253,R-HSA-5649858,Input,OR,0
R-HSA-5649856,R-HSA-5649854,R-HSA-5649859,Input,AND,1
R-HSA-5649873,R-HSA-5649883,R-HSA-5649866,Input,OR,0
R-HSA-5649873,R-HSA-110353,R-HSA-50119,Input,OR,0
R-HSA-5649873,R-HSA-110352,R-HSA-50119,Input,OR,0
R-HSA-5649873,R-HSA-110355,R-HSA-50119,Input,OR,0
R-HSA-5649873,R-HSA-110354,R-HSA-50119,Input,OR,0
R-HSA-5649873,R-HSA-110356,R-HSA-50119,Input,OR,0
R-HSA-5649873,R-HSA-110349,R-HSA-50119,Input,OR,0
R-HSA-5649873,R-HSA-110351,R-HSA-50119,Input,OR,0
R-HSA-5649873,R-HSA-110350,R-HSA-50119,Input,OR,0
R-HSA-5649883,R-HSA-5651723,R-HSA-5649888,Input,OR,0
R-HSA-5651723,R-HSA-5651739,R-HSA-5651725,Input,OR,0
R-HSA-5651739,R-HSA-5651782,R-HSA-5651754,Input,OR,0
R-HSA-5651739,R-HSA-5651828,R-HSA-5651709,Input,OR,0
R-HSA-5651773,R-HSA-5651789,R-HSA-5651769,Input,AND,1
R-HSA-5651782,R-HSA-5687484,R-HSA-54745,Input,OR,0
R-HSA-5651782,R-HSA-5649873,R-HSA-54745,Input,OR,0
R-HSA-5651782,R-HSA-110364,R-HSA-54745,Input,OR,0
R-HSA-5651782,R-HSA-5651773,R-HSA-5651778,Input,AND,1
R-HSA-5651789,R-HSA-5651792,R-HSA-5651790,Input,OR,0
R-HSA-5651792,R-HSA-5651773,R-HSA-53787,Input,OR,0
R-HSA-5651792,R-HSA-110371,R-HSA-53787,Input,OR,0
R-HSA-5651792,R-HSA-5358592,R-HSA-53787,Input,OR,0
R-HSA-5651792,R-HSA-5649708,R-HSA-53845,Input,OR,0
R-HSA-5651792,R-HSA-5649854,R-HSA-53845,Input,OR,0
R-HSA-5651792,R-HSA-110360,R-HSA-53845,Input,OR,0
R-HSA-5651792,R-HSA-3785704,R-HSA-5649637,Input,AND,1
R-HSA-5651805,R-HSA-5651809,R-HSA-5651810,Input,OR,0
R-HSA-5651809,R-HSA-5651773,R-HSA-53787,Input,OR,0
R-HSA-5651809,R-HSA-110371,R-HSA-53787,Input,OR,0
R-HSA-5651809,R-HSA-5358592,R-HSA-53787,Input,OR,0
R-HSA-5651809,R-HSA-110353,R-HSA-50119,Input,OR,0
R-HSA-5651809,R-HSA-110352,R-HSA-50119,Input,OR,0
R-HSA-5651809,R-HSA-110355,R-HSA-50119,Input,OR,0
R-HSA-5651809,R-HSA-110354,R-HSA-50119,Input,OR,0
R-HSA-5651809,R-HSA-110356,R-HSA-50119,Input,OR,0
R-HSA-5651809,R-HSA-110349,R-HSA-50119,Input,OR,0
R-HSA-5651809,R-HSA-110351,R-HSA-50119,Input,OR,0
R-HSA-5651809,R-HSA-110350,R-HSA-50119,Input,OR,0
R-HSA-5651809,R-HSA-3785704,R-HSA-5649637,Input,AND,1
R-HSA-5651809,R-HSA-5651992,R-HSA-5651799,Input,OR,0
R-HSA-5651809,R-HSA-110364,R-HSA-5651799,Input,OR,0
R-HSA-5651828,R-HSA-5696664,R-HSA-5649884,Input,OR,0
R-HSA-5651828,R-HSA-5687484,R-HSA-5649884,Input,OR,0
R-HSA-5651828,R-HSA-5649873,R-HSA-5649884,Input,OR,0
R-HSA-5651992,R-HSA-5652005,R-HSA-5651995,Input,AND,1
R-HSA-5652005,R-HSA-5652009,R-HSA-5651985,Input,OR,0
R-HSA-5652009,R-HSA-5655481,R-HSA-5652003,Input,AND,1
R-HSA-5652151,R-HSA-110311,R-HSA-5652152,Input,OR,0
R-HSA-5653754,R-HSA-5653766,R-HSA-5653761,Input,AND,1
R-HSA-5653754,R-HSA-5653756,R-HSA-5653664,Input,AND,1
R-HSA-5653756,R-HSA-5653754,R-HSA-5653760,Input,OR,0
R-HSA-5653766,R-HSA-5653770,R-HSA-5653773,Input,OR,0
R-HSA-5653770,R-HSA-5653766,R-HSA-3222218,Input,AND,1
R-HSA-5653770,R-HSA-5653780,R-HSA-5653772,Input,AND,1
R-HSA-5653780,R-HSA-5653786,R-HSA-5653781,Input,OR,0
R-HSA-5653786,R-HSA-5653780,R-HSA-5653784,Input,AND,1
R-HSA-5653786,R-HSA-5653838,R-HSA-5653782,Input,AND,1
R-HSA-5653838,R-HSA-5653840,R-HSA-5653837,Input,OR,0
R-HSA-5653840,R-HSA-5651992,R-HSA-5651799,Input,OR,0
R-HSA-5653840,R-HSA-110364,R-HSA-5651799,Input,OR,0
R-HSA-5654985,R-HSA-5654989,R-HSA-5654991,Input,OR,0
R-HSA-5654986,R-HSA-5654985,R-HSA-5654984,Input,AND,1
R-HSA-5654989,R-HSA-5655142,R-HSA-110287,Input,OR,0
R-HSA-5654989,R-HSA-110316,R-HSA-110287,Input,OR,0
R-HSA-5655142,R-HSA-5655170,R-HSA-5655139,Input,OR,0
R-HSA-5655170,R-HSA-5655142,R-HSA-5655134,Input,AND,1
R-HSA-5655170,R-HSA-110316,R-HSA-5655134,Input,AND,1
R-HSA-5655193,R-HSA-5653838,R-HSA-5655177,Positive Regulator,AND,1
R-HSA-5655466,R-HSA-5655483,R-HSA-419551,Input,OR,0
R-HSA-5655466,R-HSA-5655481,R-HSA-419551,Input,OR,0
R-HSA-5655466,R-HSA-6785732,R-HSA-419551,Input,OR,0
R-HSA-5655466,R-HSA-6786171,R-HSA-419551,Input,OR,0
R-HSA-5655481,R-HSA-5655466,R-HSA-5655479,Input,OR,0
R-HSA-5655835,R-HSA-5655892,R-HSA-5655852,Input,OR,0
R-HSA-5655892,R-HSA-5655965,R-HSA-5655912,Input,OR,0
R-HSA-5655965,R-HSA-5655835,R-HSA-3006726,Input,OR,0
R-HSA-5655965,R-HSA-110307,R-HSA-3006726,Input,OR,0
R-HSA-5655965,R-HSA-5656105,R-HSA-3006726,Input,OR,0
R-HSA-5655965,R-HSA-5655835,R-HSA-110279,Input,OR,0
R-HSA-5655965,R-HSA-5652151,R-HSA-110279,Input,OR,0
R-HSA-5655965,R-HSA-5656105,R-HSA-110279,Input,OR,0
R-HSA-5656105,R-HSA-5656148,R-HSA-5656097,Input,OR,0
R-HSA-5656148,R-HSA-5656158,R-HSA-5656146,Input,OR,0
R-HSA-5656158,R-HSA-5655835,R-HSA-3006726,Input,OR,0
R-HSA-5656158,R-HSA-110307,R-HSA-3006726,Input,OR,0
R-HSA-5656158,R-HSA-5656105,R-HSA-3006726,Input,OR,0
R-HSA-5656158,R-HSA-5655835,R-HSA-110279,Input,OR,0
R-HSA-5656158,R-HSA-5652151,R-HSA-110279,Input,OR,0
R-HSA-5656158,R-HSA-5656105,R-HSA-110279,Input,OR,0
R-HSA-5657617,R-HSA-112124,R-HSA-5657618,Input,OR,0
R-HSA-5657637,R-HSA-112123,R-HSA-5657653,Input,OR,0
R-HSA-5657641,R-HSA-112118,R-HSA-5657616,Input,OR,0
R-HSA-5657642,R-HSA-112125,R-HSA-5657647,Input,OR,0
R-HSA-5657649,R-HSA-112121,R-HSA-5657636,Input,OR,0
R-HSA-5657651,R-HSA-73892,R-HSA-5657662,Input,OR,0
R-HSA-5657665,R-HSA-112120,R-HSA-5657613,Input,OR,0
R-HSA-5659781,R-HSA-5683385,R-HSA-5659802,Input,AND,1
